team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
BAL,LB,OLB,55,ACT,Terrell Suggs,Terrell,Suggs,1982-10-11,75,265,Arizona State,00-0022161,4468,acc3b2c7-d229-41c6-bee6-0cc0c5c0cf29,6346,3001,1326,SuggTe99,7383,296,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s8bqh2tllr3pyz03fvrx",EDGE,18,WC,A01,Terrell,SUG467201,28046,32005355-4746-7201-659e-cd4b7a972eea,2003,2003,BAL,10,35
CAR,DB,FS,29,ACT,Mike Adams,Michael,Adams,1981-03-24,71,205,Delaware,00-0022247,5893,0f0ff562-af1c-4be8-8011-1f71e8441e00,7121,4677,1972,,2104,74,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lkfpqqbpyo1y29eeoqhb",SAFETY,17,REG,A01,Mike,ADA515576,29236,32004144-4151-5576-8fc8-c0de1821f384,2004,2004,,,37
DET,LS,LS,48,ACT,Don Muhlbach,Don,Muhlbach,1981-08-17,76,258,Texas A&amp;M,00-0022455,8362,046a6f57-6927-4f46-9c0b-67b762f2e42b,7120,6405,2130,,6300,252,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/semmxvhrwg2dzslwnuxu",,17,REG,A01,Don,MUH609435,29468,32004d55-4860-9435-338f-60be6acf91b3,2004,2004,,,37
PHI,OL,OT,71,ACT,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ex9upiysulscpk0gicxq",T,19,DIV,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,,36
LAC,P,P,5,ACT,Donnie Jones,Donald,Jones,1980-07-05,74,221,LSU,00-0022684,5749,ce74af98-fcfc-446d-83fe-e875d2e8dbd9,6983,4066,1939,JoneDo21,14710,1271,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qds7simibz6lt6ckf5yo",,19,DIV,A01,Donnie,JON237997,29177,32004a4f-4e23-7997-ce6c-4720adecde68,2004,2004,SEA,224,38
ATL,QB,QB,8,ACT,Matt Schaub,Matt,Schaub,1981-06-25,78,245,Virginia,00-0022787,5615,1f09583f-dcc1-43e8-a7fc-f063d2c96508,6849,3793,1811,SchaMa00,4633,178,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y0rn0hwjbisuvol6j4r0",,17,REG,A01,Matt,SCH085186,29043,32005343-4808-5186-46c6-b9a31e4f91f7,2004,2004,ATL,90,37
NYG,QB,QB,10,ACT,Eli Manning,Elisha,Manning,1981-01-03,77,218,Mississippi,00-0022803,5526,6cb6226e-f08c-4192-95f1-69709ed686c6,6760,3763,1722,MannEl00,4932,188,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w51tf8uedjftbr4qpaex",QB,17,REG,A01,Eli,MAN473170,28953,32004d41-4e47-3170-d4e5-66f2cfc951d8,2004,2004,SD,1,37
ARI,P,P,2,ACT,Andy Lee,Andy,Lee,1982-08-11,73,185,Pittsburgh,00-0022824,5713,edaad8e3-62cd-4715-b225-0010ee9825a0,6947,4044,1906,LeexAn20,3100,112,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qabkfqsdpyinyb19gqwn",,17,REG,A01,Andy,LEE008195,29141,32004c45-4500-8195-3f84-7c9db88c8928,2004,2004,SF,188,36
ARI,WR,WR,11,ACT,Larry Fitzgerald,Larry,Fitzgerald,1983-08-31,75,218,Pittsburgh,00-0022921,5528,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,6762,3730,1724,FitzLa00,5571,223,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qljpf6rufzvn9zplcrgb",SLOT_WR,17,REG,A01,Larry,FIT437493,28955,32004649-5443-7493-c0df-1747b7d5c143,2004,2004,ARI,3,35
PIT,QB,QB,7,ACT,Ben Roethlisberger,Ben,Roethlisberger,1982-03-02,77,240,"Miami, O.",00-0022924,5536,ea357add-1a41-4a8b-8f34-bbfade7f4d98,6770,3764,1732,RoetBe00,3807,138,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/myft4pwoxwrxbeh1exyy",QB,17,REG,A01,Ben,ROE750381,28963,3200524f-4575-0381-afea-aa103cf4a1e3,2004,2004,PIT,11,36
LAC,QB,QB,17,ACT,Philip Rivers,Philip,Rivers,1981-12-08,77,228,North Carolina State,00-0022942,5529,e47706c7-e14d-41fb-b13b-83a835a1f3bc,6763,3766,1725,RivePh00,8244,331,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/adapxtphf15elrdudiix",QB,19,DIV,A01,Philip,RIV651634,28956,32005249-5665-1634-a192-77c9c8e6262e,2004,2004,NYG,4,36
NO,TE,TE,82,ACT,Benjamin Watson,Benjamin,Watson,1980-12-18,75,251,Georgia,00-0022943,5557,d81844de-54c3-42ee-9850-072dc4131b6f,6791,3872,1753,WatsBe00,11756,663,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dorymozpdnrllkqlfzpu",,20,CON,A01,Benjamin,WAT311042,28985,32005741-5431-1042-6fe6-3cd4a15a0a0c,2004,2004,NE,32,37
MIA,LS,LS,92,ACT,John Denney,John,Denney,1978-12-13,77,242,Brigham Young,00-0023173,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r592pzrlchblgsanedxc",,17,REG,A01,John,DEN261515,30311,32004445-4e26-1515-9185-dd389270fe92,2005,2005,,,39
ATL,LS,LS,46,ACT,Jon Condo,Jon,Condo,1981-08-26,75,240,Maryland,00-0023177,9276,9c6d7765-03dd-4266-aeaa-926e5a85235f,7455,7122,2539,,5083,199,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pyy47jv0byo9lhyngja9",,17,REG,A01,Jon,CON072674,30315,3200434f-4e07-2674-2d6d-fb6effb80e24,2005,2005,,,37
SF,K,K,9,ACT,Robbie Gould,Robbie,Gould,1982-12-06,72,190,Penn State,00-0023252,9354,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7520,4686,2607,,1410,49,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/or27xrrhjh7yiqebs3by",,17,REG,A01,Robbie,GOU258729,30403,3200474f-5525-8729-db48-d9e3a46235a3,2005,2005,,,35
BUF,LB,OLB,57,ACT,Lorenzo Alexander,Lorenzo,Alexander,1983-05-31,73,245,California,00-0023259,9424,38a7122f-5c9d-4b65-99bc-b9822f9d981a,7569,7166,2476,,11940,678,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rr7kcy09b67a7q6ma6lx",MLB,17,REG,A01,Lorenzo,ALE509608,30412,3200414c-4550-9608-2118-3bbb6cc8aec6,2005,2005,,,35
DAL,LS,LS,91,ACT,LP LaDouceur,Louis-Philippe,Ladouceur,1981-03-13,77,256,California,00-0023298,9349,58ac0e67-b0c1-4a2d-b89d-ccf3296c787f,7512,7095,,,5668,225,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/alzujovpyragl908woj7",,19,DIV,A01,L.P.,LAD000000,30452,32004c41-4400-0000-8d79-1c8a809670c5,2005,2005,,,37
MIA,DL,DE,91,ACT,Cameron Wake,Derek,Wake,1982-01-30,75,263,Penn State,00-0023368,12417,2d23b5d1-fbee-41df-bd6f-dd984d03a4d1,9691,5975,4907,,8343,342,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/joxqiwlrpk7wwrwoibsl",EDGE,17,REG,A01,Cameron,WAK155481,30153,32005741-4b15-5481-3b62-171f355e7a44,2005,2005,,,36
WAS,QB,QB,11,RES,Alex Smith,Alex,Smith,1984-05-07,76,213,Utah,00-0023436,8416,2fda010a-8c62-4c07-b601-4ba03f57e6af,7177,4306,2218,SmitAl03,6739,268,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpa5d1a8jj6jdymocjkx",,17,REG,,Alex,SMI031126,29819,3200534d-4903-1126-6414-eeba5603cc44,2005,2005,SF,,34
DEN,DB,CB,24,CUT,Adam Jones,Adam,Jones,1983-09-30,70,185,West Virginia,00-0023441,8421,69d9c13c-2293-4eed-ae35-01c90dd45c1b,7182,4457,2223,JonePa20,11731,657,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hvbjym05mpvfkdhy3bsz",,17,REG,,Adam,JON026865,29830,32004a4f-4e02-6865-2a3c-d70c6147829e,2005,2005,TEN,,34
CAR,LB,OLB,58,ACT,Thomas Davis,Thomas,Davis,1983-03-22,73,235,Georgia,00-0023448,8429,c8af316c-0e46-41ab-bce5-e63a1730c356,7190,4455,2231,DaviTh20,4895,187,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ozx7vkjzimmvjggna5nh",MLB,17,REG,A01,Thomas,DAV768681,29839,32004441-5676-8681-fe7b-57aa7bb1405a,2005,2005,CAR,14,35
OAK,LB,ILB,56,CUT,Derrick Johnson,Derrick,Johnson,1982-11-22,75,245,Texas,00-0023449,8430,e3896096-bafa-4c02-bd35-372c4002b3d7,7191,4486,2232,JohnDe25,8231,329,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/klf4il8dwq34bs30x9wk",,17,REG,,Derrick,JOH202085,29840,32004a4f-4820-2085-b70c-2cc6ba9c6d5c,2005,2005,KC,,35
GB,QB,QB,12,ACT,Aaron Rodgers,Aaron,Rodgers,1983-12-02,74,225,California,00-0023459,8439,0ce48193-e2fa-466e-a986-33f751add206,7200,4307,2241,RodgAa00,2593,96,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejjiyjumtzwxiffdhkgz",QB,17,REG,A01,Aaron,ROD339293,29851,3200524f-4433-9293-a3cf-ad7758d03003,2005,2005,GB,24,34
OAK,K,K,6,RES,Mike Nugent,Mike,Nugent,1982-03-02,70,190,Ohio State,00-0023482,8461,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,7223,4441,,nugenmik01,11735,658,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kkmkvk3wzzsdzgstz0ez",,17,REG,,Mike,NUG461506,29874,32004e55-4746-1506-9941-9696f5548b25,2005,2005,NYJ,,36
MIA,RB,RB,21,RES,Frank Gore,Frank,Gore,1983-05-14,69,212,Miami,00-0023500,8479,6a2b129d-a9e5-4131-b491-82269b323f77,7241,4400,2282,GoreFr00,5820,232,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",,17,REG,,Frank,GOR411171,29892,3200474f-5241-1171-e932-18530d86ff0c,2005,2005,SF,,35
KC,P,P,2,ACT,Dustin Colquitt,Dustin,Colquitt,1982-05-06,75,210,Tennessee,00-0023534,8513,cdf8908a-7092-4054-a49c-a9884211aaa1,7275,4442,2316,ColqDu20,8243,330,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v1aymd6o0vpg73ytxzhu",,20,CON,A01,Dustin,COL759300,29926,3200434f-4c75-9300-56a9-5740a2cedb3f,2005,2005,KC,99,36
PHI,RB,RB,43,ACT,Darren Sproles,Darren,Sproles,1983-06-20,66,190,Kansas State,00-0023564,8544,15b156b5-30cc-4070-b60a-1c09e62c5a9b,7306,4320,2347,SproDa00,6198,246,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvj5ng27blmwuz170aeo",RB,19,DIV,A01,Darren,SPR711296,29957,32005350-5271-1296-dc4d-133c41f445ef,2005,2005,SD,130,35
BUF,QB,QB,3,ACT,Derek Anderson,Derek,Anderson,1983-06-15,78,235,Oregon State,00-0023645,8627,72fbe462-91c5-4c84-9640-e8ad7cad6447,7389,4313,2430,AndeDe00,12083,691,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w191gsxivnqgdwgydka6",,17,REG,A01,Derek,AND180512,30041,3200414e-4418-0512-e961-a2958bd3bdd9,2005,2005,BAL,213,35
DET,QB,QB,8,ACT,Matt Cassel,Matt,Cassel,1982-05-17,76,228,USC,00-0023662,8644,8263e101-aa33-435f-bf0f-388e1c4eeb59,7406,4574,2447,CassMa00,8723,389,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n1ucqggyu5hlsqzuv5gj",,17,REG,A01,Matt,CAS541133,30058,32004341-5354-1133-14a7-1d6f22a080b3,2005,2005,NE,230,36
TB,QB,QB,14,ACT,Ryan Fitzpatrick,Ryan,Fitzpatrick,1982-11-24,74,223,Harvard,00-0023682,8664,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,7426,4385,2467,FitzRy00,8283,333,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/joilglqul2ldsy2pfjey",,17,REG,A01,Ryan,FIT792915,30078,32004649-5479-2915-c998-f50119c2fdd4,2005,2005,STL,250,35
BUF,P,P,9,CUT,Jon Ryan,Jon,Ryan,,72,217,Regina (Canada),00-0023742,10238,f6b48c8b-66ac-47a3-aafc-5addce6a6d82,8020,7975,3493,,3764,135,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jarcsmohj6vbznthlni8",,17,REG,,Jon,RYA229481,30714,32005259-4122-9481-61e2-b493c152ed78,2006,2006,,,
DET,K,K,5,ACT,Matt Prater,Matt,Prater,1984-08-10,70,201,Central Florida,00-0023853,11122,67f5e782-f91c-4536-9818-cf4a0e7e821d,8565,5051,3471,,549,17,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mudkepbftdxdaqbycfu0",,17,REG,A01,Matt,PRA143616,31446,32005052-4114-3616-ccef-0127103fb075,2006,2006,,,34
OAK,OL,T,72,RES,Donald Penn,Donald,Penn,1983-04-27,76,315,Utah State,00-0023894,10062,50bcb5d3-62fb-45ac-b25b-5dffbff0cb0c,8119,5150,3459,,5274,207,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbarhx9omymxl236etax",,17,REG,,Donald,PEN244635,31228,32005045-4e24-4635-4099-3bed2139bf9c,2006,2006,,,35
MIN,DL,DT,96,ACT,Tom Johnson,Tom,Johnson,1984-08-30,75,288,Southern Mississippi,00-0024030,10001,ee305db3-cdaf-4eb3-b950-7146d51eac34,24778,4662,3378,,13664,1017,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bwyxmz1ltuvlw2lmsbdo",INTERIOR_LINE,17,REG,A01,Tom,JOH692182,31348,32004a4f-4869-2182-1ea5-4141d2680ece,2006,2006,,,34
GB,DB,CB,38,ACT,Tramon Williams,Tramon,Williams,1983-03-16,71,192,Louisiana Tech,00-0024061,5432,640710b9-72f2-47e1-9afa-f3070b23c119,8212,5861,3558,,3942,146,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/btv4xik81slb9h07rmkh",SAFETY,17,REG,A01,Tramon,WIL545231,31517,32005749-4c54-5231-ee79-f2e61d2ba296,2006,2006,,,35
TB,DB,CB,24,ACT,Brent Grimes,Brent,Grimes,1983-07-19,70,185,Shippensburg,00-0024183,10913,7979b613-6dbf-4534-8166-6430433c1ec3,8607,5848,3589,,6078,242,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jdlknyziigmhmkkyihrm",CB,17,REG,A01,Brent,GRI674817,31569,32004752-4967-4817-7a34-4b1ed913c685,2006,2006,,,35
WAS,TE,TE,85,ACT,Vernon Davis,Vernon,Davis,1984-01-31,75,244,Maryland,00-0024221,9592,0a95e792-6455-4927-9539-f95fa7f41fbb,7755,4732,2951,DaviVe00,5084,200,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/so5ywayfeeu4zeijln5m",,17,REG,A01,Vernon,DAV785142,30820,32004441-5678-5142-320c-d7ad3d7c83da,2006,2006,SF,6,34
PHI,DL,DT,94,ACT,Haloti Ngata,Etuini,Ngata,1984-01-21,76,340,Oregon,00-0024227,9598,6de52f0c-2a65-42a3-81a0-9c772a588c08,7761,4743,2957,NgatHa20,7680,314,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ga6ow47da8dsw0dcxct0",INTERIOR_LINE,19,DIV,A01,Haloti,NGA622937,30826,32004e47-4162-2937-18c8-15776113dbb1,2006,2006,BAL,12,34
HOU,DB,CB,24,ACT,Johnathan Joseph,Johnathan,Joseph,1984-04-16,71,185,South Carolina,00-0024239,9610,06dab231-dbbd-4ccb-8233-3c2d70318ee3,7773,4768,2969,JoseJo20,4490,172,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h9oxendnzgaa6kwtzeql",CB,18,WC,A01,Johnathan,JOS218478,30838,32004a4f-5321-8478-4006-049349af8e5c,2006,2006,CIN,24,34
GB,TE,TE,89,ACT,Marcedes Lewis,Marcedes,Lewis,1984-05-19,78,280,UCLA,00-0024243,9614,9c21e9af-681c-41ef-9b00-fbc9e1668ed1,7777,4891,2973,LewiMa00,3061,111,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hcdlorazrfy9xnyt43ub",SLOT_WR,17,REG,A01,Marcedes,LEW492053,30842,32004c45-5749-2053-af92-a96945af706a,2006,2006,JAX,28,34
LA,OL,T,77,ACT,Andrew Whitworth,Andrew,Whitworth,1981-12-12,79,333,Louisiana State,00-0024270,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/apxifszlt1zhaicbfl7p",T,21,SB,A01,Andrew,WHI825900,30869,32005748-4982-5900-e93f-eb602e0a7d0b,2006,2006,CIN,55,36
OAK,DL,DT,98,ACT,Frostee Rucker,Frostee,Rucker,1983-09-14,75,280,USC,00-0024306,9677,36648f14-5fe5-40f3-ade1-ef53c8f93bdf,7840,5030,3036,RuckFr99,1214,42,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hqcc0pswncgp31c39ysy",EDGE,17,REG,A01,Frostee,RUC531571,30905,32005255-4353-1571-94a3-2cc06cf82a75,2006,2006,CIN,91,34
NE,K,K,3,ACT,Stephen Gostkowski,Stephen,Gostkowski,1984-01-28,73,215,Memphis,00-0024333,9704,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,7867,4932,3063,GostSt20,2982,110,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nqi0psnge6kkglcspabo",,21,SB,A01,Stephen,GOS721266,30932,3200474f-5372-1266-99b1-17ad15c20f0a,2006,2006,NE,118,34
NO,WR,WR,15,CUT,Brandon Marshall,Brandon,Marshall,1984-03-23,77,232,Central Florida,00-0024334,9705,bbca096b-fd15-498a-86c2-feb44737363f,7868,4879,3064,MarsBr00,11667,648,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jhziqh0scfksvxen6f3s",,20,CON,,Brandon,MAR370922,30933,32004d41-5237-0922-7f60-5556d0dc6ec1,2006,2006,DEN,,34
DEN,DL,NT,94,ACT,Domata Peko Sr,Domata,Peko,1984-11-27,75,325,Michigan State,00-0024338,9709,6a3bcfd5-a855-4173-a2aa-94e2c77c8268,7872,5853,3068,PekoDo20,5929,236,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekk47kr5k5tj8bkixmun",INTERIOR_LINE,17,REG,A01,Domata,PEK461869,30937,32005045-4b46-1869-bc77-6b9b0953c1af,2006,2006,CIN,123,33
BUF,DL,DT,95,ACT,Kyle Williams,Kyle,Williams,1983-06-10,73,303,Louisiana State,00-0024348,9720,57c5c69c-844e-41f1-9985-6fc178cee514,7883,5152,3079,WillKy20,2550,94,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/az6qa28sbmxfklqs9waz",INTERIOR_LINE,17,REG,A01,Kyle,WIL415284,30949,32005749-4c41-5284-55d9-a6ab08368f54,2006,2006,BUF,134,35
TEN,TE,TE,82,RES,Delanie Walker,Delanie,Walker,1984-08-12,74,248,Central Missouri State,00-0024389,9761,ccce5e8e-52ca-4f0f-a40f-fe5e7227d156,7924,4888,3120,WalkHu00,7175,284,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/diknegkpqy0qnri7877z",,17,REG,,Delanie,WAL115671,30990,32005741-4c11-5671-e747-a27704ad47c0,2006,2006,SF,,34
BAL,P,P,4,ACT,Sam Koch,Sam,Koch,1982-08-13,73,222,Nebraska,00-0024417,9789,544e4159-3da3-47ad-866c-bf48d7634f25,7952,7073,3148,KochSa20,430,13,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tpbfvjsudoe7ats4ibln",,18,WC,A01,Sam,KOC420430,31018,32004b4f-4342-0430-38c8-f7582cd5f048,2006,2006,BAL,203,36
ARI,DB,FS,41,ACT,Antoine Bethea,Antoine,Bethea,1984-07-27,71,206,Howard,00-0024421,9793,7a2612f3-ea18-444c-95ee-f1ca597d6fb0,7956,4972,3152,BethAn20,2379,88,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xirozqwhvfycz5m830yf",SAFETY,17,REG,A01,Antoine,BET074391,31022,32004245-5407-4391-174d-0c21cb1efc83,2006,2006,IND,207,34
WAS,RB,RB,26,ACT,Adrian Peterson,Adrian,Peterson,1985-03-21,73,220,Oklahoma,00-0025394,10452,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,8261,5215,3623,PeteAd01,4807,184,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lfgv8vf2abbvuoaibr8r",RB,17,REG,A01,Adrian,PET260705,32200,32005045-5426-0705-afaf-b095105b31fb,2007,2007,MIN,7,33
NO,WR,WR,19,ACT,Ted Ginn,Ted,Ginn,1985-04-12,71,180,Ohio State,00-0025396,10453,3aef6950-1c19-4454-a3d0-0afe9634ea9f,8263,5214,3625,GinnTe00,12109,695,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/myuaipuopeaowqpksxnn",WR,20,CON,A01,Ted,GIN403290,32202,32004749-4e40-3290-b291-829cfef68d62,2007,2007,MIA,9,33
OAK,RB,RB,24,RES,Marshawn Lynch,Marshawn,Lynch,1986-04-22,71,215,California,00-0025399,10456,82bce0be-9a87-4b6d-a85b-623bf8d1674e,8266,5202,3628,LyncMa00,12386,745,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ddhpebfqtr9yxsnbx9ht",,17,REG,,Marshawn,LYN442976,32205,32004c59-4e44-2976-5f5d-bd6e816d564f,2007,2007,BUF,,32
OAK,DB,CB,29,RES,Leon Hall,Leon,Hall,1984-12-09,71,195,Michigan,00-0025405,10462,16340de5-372b-4c20-953f-07a0fe26be69,8272,5348,3634,HallLe98,1650,56,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rajajwfcqsmonbqsblcl",,17,REG,,Leon,HAL432931,32211,32004841-4c43-2931-827d-a854493751c7,2007,2007,CIN,,33
